# Saving: 0.02 s

time,angle,angleD,angleDD,angle_cos,angle_sin,position,positionD,positionDD,Q,Q_applied,u,target_position,target_equilibrium,L,Q_update_time,D_angle_sin,D_angle_cos,D_angleD,D_position,D_positionD,Q_applied_-1
0.7,-1.6716028,-0.95625865,-36.945103,-0.10063587,-0.99492335,-0.008514765,0.21126944,-0.1729713,0.3854572,0.33336118,0.87340623,0.016023017,-1.0,0.1975,0.016333874,0.14618605,-1.2802478,-36.91319,0.21013226,-0.0928713,-0.23854375
0.72,-1.6973749,-1.6945239,-35.907875,-0.12624088,-0.9919996,-0.004312111,0.20941201,-1.9892236,0.37529987,0.092167616,0.24147914,0.01974378,-1.0,0.1975,0.016220542,0.29499558,-1.995678,-35.869366,0.19335595,-1.6490691,0.33336118
0.74,-1.7377249,-2.4119105,-37.937584,-0.1661544,-0.9860997,-0.00044499597,0.17643066,2.11662,0.37797624,0.49834597,1.3056664,0.023308003,-1.0,0.1975,0.016428083,0.5318796,-2.700642,-37.84349,0.19472796,1.9825224,0.092167616
0.76,-1.7927822,-3.1687796,-36.07877,-0.22016719,-0.97546214,0.0034495594,0.21608107,-0.10191068,0.36642152,0.26473874,0.69361544,0.02670137,-1.0,0.1975,0.016872333,0.8873292,-3.3774736,-35.943493,0.2160656,0.06495124,0.49834597
0.78,-1.8626381,-3.8876488,-37.523083,-0.2877166,-0.9577156,0.0077708676,0.21738009,1.8853728,0.36325976,0.4581495,1.2003516,0.029909555,-1.0,0.1975,0.015766667,1.3846458,-3.9892817,-37.25897,0.23405181,1.8328146,0.26473874
0.8,-1.9471184,-4.6328297,-39.176777,-0.3675024,-0.9300226,0.012451913,0.25403646,3.4297373,0.36704415,0.6521418,1.7086115,0.03291824,-1.0,0.1975,0.016299292,2.0589044,-4.535328,-38.673534,0.283672,3.2046378,0.4581495
0.82,-2.0467753,-5.4062996,-33.646416,-0.45820886,-0.88884455,0.018125348,0.31812915,0.4786421,0.36798945,0.3656159,0.95791364,0.0357131,-1.0,0.1975,0.015989292,2.8978524,-4.9115796,-32.998997,0.3230273,0.5832603,0.6521418
0.84,-2.1608918,-6.066279,-31.7562,-0.55644035,-0.83088756,0.024585888,0.32979435,0.538642,0.34204763,0.34918573,0.91486657,0.038279817,-1.0,0.1975,0.015468709,3.856377,-5.0354705,-30.717049,0.33494428,0.58752924,0.3656159
0.86,-2.2878277,-6.680621,-34.836952,-0.65715,-0.75375986,0.031284787,0.34154496,2.8555853,0.3007441,0.59656334,1.5629959,0.04060407,-1.0,0.1975,0.016311167,4.9418287,-4.9272704,-32.89891,0.3656642,2.555644,0.34918573
0.88,-2.4275115,-7.3385987,-13.88667,-0.7556953,-0.6549234,0.038598064,0.3926578,-3.5215263,0.24208145,-0.011337206,-0.029703477,0.042671535,-1.0,0.1975,0.016414,5.976754,-4.445539,-12.350213,0.36274266,-3.206259,0.59656334
0.9,-2.576625,-7.5856028,-21.306438,-0.844606,-0.5353884,0.04585291,0.32853267,0.55517405,0.17142414,0.34524488,0.90454155,0.044467892,-1.0,0.1975,0.016814584,6.850421,-3.6307232,-18.152367,0.33202904,0.26775396,-0.011337206
0.92,-2.731843,-7.948651,1.3068681,-0.9172206,-0.3983797,0.052493505,0.33388776,-4.509926,0.10734229,-0.094996125,-0.24888983,0.045978818,-1.0,0.1975,0.016545042,7.4894977,-2.5694156,3.3242733,0.29468527,-4.260522,0.34524488
0.94,-2.8903685,-7.8821654,28.778963,-0.96860886,-0.2485899,0.058387205,0.2486774,-10.223368,0.033272296,-0.7026794,-1.84102,0.047189996,-1.0,0.1975,0.017063458,7.504399,-1.3264014,27.858784,0.16244665,-9.160323,-0.094996125
0.96,-3.0429306,-7.3249903,-10.661097,-0.99513686,-0.09850206,0.061636135,0.06547111,1.9572115,-0.042393684,0.25176612,0.6596272,0.0480871,-1.0,0.1975,0.017259084,7.3850226,-0.1826074,-5.6731825,0.07941222,1.2872007,-0.7026794
